f1-score	Precision	Recall	Accuracy	Cross-validation-score	Method	Combination	Token	Ngram	Lemma	Stem	Time
79.101	85.958	76.754	83.729	83.491	Logistic Regression	['Tokenization']	True	False	False	False	82.782
70.999	84.448	71.713	78.305	80.11775	ComplementNB	['Tokenization']	True	False	False	False	4.83
61.447	74.73	59.526	75.593	78.59575	GaussianNB	['Tokenization']	True	False	False	False	6.733
46.807	60.865	45.3	81.356	82.05725	MultinomialNB	['Tokenization']	True	False	False	False	7.05
67.324	92.584	66.658	81.695	82.05699999999999	Random Forest	['Tokenization']	True	False	False	False	7.296
71.462	77.658	70.535	79.322	83.65	SVM	['Tokenization']	True	False	False	False	16.846
74.209	75.268	76.38	80.0	82.13825	Logistic Regression	['N-gram']	False	True	False	False	421.773
72.037	88.779	74.57	82.373	82.22775	ComplementNB	['N-gram']	False	True	False	False	3.695
70.618	83.562	68.641	81.356	81.88675	GaussianNB	['N-gram']	False	True	False	False	7.211
70.016	91.65	71.818	83.39	82.901	MultinomialNB	['N-gram']	False	True	False	False	3.681
65.545	92.805	64.275	80.678	82.8945	Random Forest	['N-gram']	False	True	False	False	30.411
75.169	91.597	76.025	85.085	84.75425	SVM	['N-gram']	False	True	False	False	49.575
75.585	80.246	74.349	81.356	82.05749999999999	Logistic Regression	['Lemmatization']	False	False	True	False	55.076
72.54	85.088	73.095	79.322	79.95150000000001	ComplementNB	['Lemmatization']	False	False	True	False	4.793
61.447	74.73	59.526	75.593	77.67150000000001	GaussianNB	['Lemmatization']	False	False	True	False	5.238
44.461	61.929	44.077	79.322	80.7075	MultinomialNB	['Lemmatization']	False	False	True	False	4.897
65.772	93.728	64.275	80.678	82.1395	Random Forest	['Lemmatization']	False	False	True	False	8.248
73.142	79.767	71.525	80.678	83.39875	SVM	['Lemmatization']	False	False	True	False	16.012
75.025	79.012	74.217	81.017	81.8055	Logistic Regression	['Stemming']	False	False	False	True	52.941
70.628	79.105	71.772	76.949	79.18875	ComplementNB	['Stemming']	False	False	False	True	6.036
59.666	70.463	58.361	75.254	77.3355	GaussianNB	['Stemming']	False	False	False	True	6.406
46.713	61.48	45.259	79.661	81.71575	MultinomialNB	['Stemming']	False	False	False	True	6.046
65.772	93.728	64.275	80.678	82.642	Random Forest	['Stemming']	False	False	False	True	9.295
72.399	79.022	70.784	80.0	82.306	SVM	['Stemming']	False	False	False	True	17.244
78.35	86.905	76.413	84.407	83.57724999999999	Logistic Regression	['N-gram', 'Lemmatization']	False	True	True	False	426.249
72.232	90.253	72.768	83.051	83.6565	ComplementNB	['N-gram', 'Lemmatization']	False	True	True	False	8.445
64.034	78.278	62.243	77.627	80.6195	GaussianNB	['N-gram', 'Lemmatization']	False	True	True	False	12.273
67.059	91.209	66.935	81.017	81.299	MultinomialNB	['N-gram', 'Lemmatization']	False	True	True	False	8.402
62.742	93.066	61.15	78.983	81.54675	Random Forest	['N-gram', 'Lemmatization']	False	True	True	False	34.776
71.941	91.176	70.124	82.712	84.74875	SVM	['N-gram', 'Lemmatization']	False	True	True	False	58.451
78.628	88.568	76.53	84.746	84.08175	Logistic Regression	['N-gram', 'Stemming']	False	True	False	True	399.028
70.999	90.426	71.618	82.712	83.65675	ComplementNB	['N-gram', 'Stemming']	False	True	False	True	10.162
63.758	77.508	62.127	77.288	79.94775	GaussianNB	['N-gram', 'Stemming']	False	True	False	True	14.226
68.449	91.777	68.81	82.034	81.55324999999999	MultinomialNB	['N-gram', 'Stemming']	False	True	False	True	10.163
63.074	92.005	61.658	78.983	81.46275	Random Forest	['N-gram', 'Stemming']	False	True	False	True	40.812
75.376	91.631	72.672	84.068	85.59174999999999	SVM	['N-gram', 'Stemming']	False	True	False	True	61.046
