f1-score	Precision	Recall	Accuracy	Cross-validation-score	Method	Combination	Token	Ngram	Lemma	Stem
94.541	94.76	94.33	94.949	91.499	Logistic Regression	['Tokenization']	True	False	False	False
91.779	91.241	92.365	92.256	84.27	ComplementNB	['Tokenization']	True	False	False	False
87.733	93.4	83.991	89.899	88.546	GaussianNB	['Tokenization']	True	False	False	False
66.025	66.746	65.43	91.246	86.452	MultinomialNB	['Tokenization']	True	False	False	False
92.533	98.026	89.076	93.939	90.992	Random Forest	['Tokenization']	True	False	False	False
92.981	95.497	91.018	93.939	91.58	SVM	['Tokenization']	True	False	False	False
94.247	94.333	94.211	94.613	90.578	Logistic Regression	['N-gram']	False	True	False	False
92.685	95.158	90.899	93.603	75.865	ComplementNB	['N-gram']	False	True	False	False
90.535	94.869	87.333	91.919	90.735	GaussianNB	['N-gram']	False	True	False	False
66.606	70.031	63.964	92.593	78.721	MultinomialNB	['N-gram']	False	True	False	False
91.448	97.727	87.446	92.929	90.99	Random Forest	['N-gram']	False	True	False	False
94.248	96.547	92.387	94.949	91.247	SVM	['N-gram']	False	True	False	False
93.064	94.163	92.074	93.603	92.17	Logistic Regression	['Lemmatization']	False	False	True	False
90.868	91.126	90.691	91.582	84.602	ComplementNB	['Lemmatization']	False	False	True	False
87.916	96.061	83.06	89.899	88.463	GaussianNB	['Lemmatization']	False	False	True	False
65.537	68.545	63.144	91.246	87.374	MultinomialNB	['Lemmatization']	False	False	True	False
91.194	97.629	86.984	92.593	90.484	Random Forest	['Lemmatization']	False	False	True	False
92.403	94.759	90.437	93.266	91.408	SVM	['Lemmatization']	False	False	True	False
94.935	95.363	94.53	95.286	91.753	Logistic Regression	['Stemming']	False	False	False	True
90.418	90.024	90.959	90.909	84.182	ComplementNB	['Stemming']	False	False	False	True
87.341	94.534	82.941	89.562	88.378	GaussianNB	['Stemming']	False	False	False	True
64.629	64.892	64.447	89.899	86.03	MultinomialNB	['Stemming']	False	False	False	True
92.533	98.026	89.076	93.939	90.823	Random Forest	['Stemming']	False	False	False	True
92.991	94.076	91.993	93.603	92.167	SVM	['Stemming']	False	False	False	True
94.798	95.778	93.943	95.286	91.752	Logistic Regression	['Tokenization', 'N-gram']	True	True	False	False
92.685	95.158	90.899	93.603	79.06	ComplementNB	['Tokenization', 'N-gram']	True	True	False	False
88.88	94.398	85.115	90.909	90.316	GaussianNB	['Tokenization', 'N-gram']	True	True	False	False
66.285	69.428	63.844	92.256	81.999	MultinomialNB	['Tokenization', 'N-gram']	True	True	False	False
91.816	97.826	87.989	93.266	91.243	Random Forest	['Tokenization', 'N-gram']	True	True	False	False
93.002	95.685	91.018	93.939	91.916	SVM	['Tokenization', 'N-gram']	True	True	False	False
94.435	95.566	93.399	94.949	92.172	Logistic Regression	['Tokenization', 'Lemmatization']	True	False	True	False
91.316	91.362	91.316	91.919	84.688	ComplementNB	['Tokenization', 'Lemmatization']	True	False	True	False
87.397	94.534	83.023	89.562	87.873	GaussianNB	['Tokenization', 'Lemmatization']	True	False	True	False
66.525	68.503	64.856	92.256	86.789	MultinomialNB	['Tokenization', 'Lemmatization']	True	False	True	False
91.121	97.092	87.327	92.593	91.413	Random Forest	['Tokenization', 'Lemmatization']	True	False	True	False
92.625	95.273	90.475	93.603	91.913	SVM	['Tokenization', 'Lemmatization']	True	False	True	False
94.879	95.81	94.024	95.286	92.006	Logistic Regression	['N-gram', 'Lemmatization']	False	True	True	False
92.654	95.554	90.475	93.603	79.648	ComplementNB	['N-gram', 'Lemmatization']	False	True	True	False
87.929	94.016	83.909	89.899	90.146	GaussianNB	['N-gram', 'Lemmatization']	False	True	True	False
65.6	70.274	62.252	91.582	83.009	MultinomialNB	['N-gram', 'Lemmatization']	False	True	True	False
91.448	97.727	87.446	92.929	91.073	Random Forest	['N-gram', 'Lemmatization']	False	True	True	False
92.143	95.841	89.425	93.266	91.328	SVM	['N-gram', 'Lemmatization']	False	True	True	False
95.272	95.929	94.649	95.623	92.089	Logistic Regression	['Tokenization', 'Stemming']	True	False	False	True
