f1-score	Precision	Recall	Accuracy	Cross-validation-score	Method	Combination	Token	Ngram	Lemma	Stem	Time
84.126	86.599	82.591	87.119	86.02324999999999	Logistic Regression	['Tokenization']	True	False	False	False	110.362
73.829	73.712	75.722	76.271	80.5325	ComplementNB	['Tokenization']	True	False	False	False	6.346
58.56	64.223	57.879	73.898	74.725	GaussianNB	['Tokenization']	True	False	False	False	7.106
49.245	56.705	46.096	80.339	81.6325	MultinomialNB	['Tokenization']	True	False	False	False	6.358
63.32	68.407	62.384	79.661	81.044	Random Forest	['Tokenization']	True	False	False	False	14.578
70.23	78.525	69.018	81.017	84.07425	SVM	['Tokenization']	True	False	False	False	23.748
76.919	78.948	78.143	82.034	84.0765	Logistic Regression	['N-gram']	False	True	False	False	617.612
68.795	79.274	72.823	80.339	82.559	ComplementNB	['N-gram']	False	True	False	False	5.172
64.17	70.128	63.853	77.966	79.442	GaussianNB	['N-gram']	False	True	False	False	9.904
64.529	62.723	66.613	78.644	81.797	MultinomialNB	['N-gram']	False	True	False	False	5.192
61.779	66.934	61.017	78.644	81.12525	Random Forest	['N-gram']	False	True	False	False	48.167
73.453	82.708	75.035	83.729	85.25574999999999	SVM	['N-gram']	False	True	False	False	70.045
81.661	83.348	80.828	85.085	84.92474999999999	Logistic Regression	['Lemmatization']	False	False	True	False	103.643
75.818	75.686	76.96	78.305	80.1995	ComplementNB	['Lemmatization']	False	False	True	False	8.356
59.065	67.4	58.012	74.237	74.55775	GaussianNB	['Lemmatization']	False	False	True	False	8.958
44.705	51.433	42.05	77.627	81.125	MultinomialNB	['Lemmatization']	False	False	True	False	8.466
62.193	68.23	61.25	79.322	81.29475	Random Forest	['Lemmatization']	False	False	True	False	16.254
70.958	81.707	70.776	81.695	83.991	SVM	['Lemmatization']	False	False	True	False	25.546
80.339	81.914	79.085	84.407	83.74625	Logistic Regression	['Stemming']	False	False	False	True	94.599
73.474	73.988	75.097	75.932	79.69025	ComplementNB	['Stemming']	False	False	False	True	12.113
58.816	66.969	58.228	74.915	73.9705	GaussianNB	['Stemming']	False	False	False	True	12.177
49.768	55.703	46.537	80.0	82.053	MultinomialNB	['Stemming']	False	False	False	True	11.594
63.32	68.407	62.384	79.661	81.37899999999999	Random Forest	['Stemming']	False	False	False	True	18.737
70.804	76.613	70.544	81.017	83.2335	SVM	['Stemming']	False	False	False	True	28.576
75.76	78.788	75.175	82.373	84.6665	Logistic Regression	['N-gram', 'Lemmatization']	False	True	True	False	530.769
70.366	76.382	71.505	79.322	84.32025	ComplementNB	['N-gram', 'Lemmatization']	False	True	True	False	8.891
58.926	59.179	59.622	74.576	77.75524999999999	GaussianNB	['N-gram', 'Lemmatization']	False	True	True	False	13.258
62.437	73.25	62.879	76.61	80.953	MultinomialNB	['N-gram', 'Lemmatization']	False	True	True	False	8.883
61.762	69.404	60.625	78.983	81.20949999999999	Random Forest	['N-gram', 'Lemmatization']	False	True	True	False	38.356
72.27	85.989	72.259	83.051	85.16999999999999	SVM	['N-gram', 'Lemmatization']	False	True	True	False	57.324
79.296	81.727	78.38	84.068	85.00725	Logistic Regression	['N-gram', 'Stemming']	False	True	False	True	579.122
69.521	76.711	70.98	79.322	83.98425	ComplementNB	['N-gram', 'Stemming']	False	True	False	True	17.45
58.926	59.179	59.622	74.576	77.334	GaussianNB	['N-gram', 'Stemming']	False	True	False	True	22.835
61.372	72.548	61.629	75.932	80.784	MultinomialNB	['N-gram', 'Stemming']	False	True	False	True	17.165
61.779	66.934	61.017	78.644	80.872	Random Forest	['N-gram', 'Stemming']	False	True	False	True	51.985
72.27	85.989	72.259	83.051	84.83375	SVM	['N-gram', 'Stemming']	False	True	False	True	80.236
